engaged,la,ra,lh,rh,head,body
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still
engaged,la still,ra still,lh fist,rh closed back,head blind,body still
engaged,la still,ra still,lh fist,rh fist,head blind,body still
engaged,la still,ra still,lh closed back,rh fist,head blind,body still
engaged,la still,ra still,lh fist,rh other,head blind,body still
engaged,la still,ra still,lh fist,rh other,head blind,body still
engaged,la still,ra still,lh other,rh other,head blind,body still
engaged,la still,ra still,lh other,rh fist,head blind,body still
engaged,la still,ra still,lh other,rh other,head blind,body still
engaged,la still,ra still,lh closed back,rh other,head blind,body still
engaged,la still,ra still,lh closed back,rh other,head blind,body still
engaged,la still,ra still,lh open back,rh other,head blind,body still
engaged,la still,ra still,lh open back,rh other,head blind,body still
engaged,la still,ra still,lh open back,rh other,head blind,body still
engaged,la still,ra still,lh open back,rh other,head blind,body still
engaged,la still,ra still,lh open back,rh other,head blind,body still
engaged,la still,ra still,lh closed back,rh other,head blind,body still
engaged,la still,ra still,lh open back,rh other,head blind,body still
engaged,la still,ra still,lh closed back,rh other,head blind,body still
engaged,la still,ra still,lh closed back,rh other,head blind,body still
engaged,la still,ra still,lh closed back,rh other,head blind,body still
engaged,la still,ra still,lh other,rh other,head blind,body still
engaged,la still,ra still,lh other,rh other,head blind,body still
engaged,la still,ra still,lh other,rh other,head blind,body still
engaged,la still,ra still,lh other,rh other,head blind,body still
engaged,la still,ra still,lh other,rh other,head blind,body still
engaged,la still,ra still,lh other,rh other,head blind,body still
engaged,la still,ra still,lh other,rh other,head blind,body still
engaged,la still,ra still,lh other,rh other,head blind,body still
engaged,la still,ra still,lh other,rh closed back,head blind,body still
engaged,la still,ra still,lh other,rh open back,head other,body still
engaged,la still,ra still,lh other,rh open back,head other,body still
engaged,la still,ra still,lh other,rh open back,head other,body still
engaged,la still,ra still,lh other,rh open left,head other,body still
engaged,la still,ra still,lh other,rh point front,head other,body still
engaged,la still,ra still,lh other,rh closed front,head other,body still
engaged,la still,ra still,lh other,rh closed front,head other,body still
engaged,la still,ra still,lh other,rh closed front,head other,body still
engaged,la still,ra still,lh other,rh closed front,head other,body still
engaged,la still,ra still,lh other,rh stop,head other,body still
engaged,la still,ra still,lh other,rh stop,head other,body still
engaged,la still,ra still,lh other,rh stop,head other,body still
engaged,la still,ra still,lh other,rh stop,head other,body still
engaged,la still,ra still,lh other,rh five front,head other,body still
engaged,la still,ra still,lh other,rh five front,head other,body still
engaged,la still,ra still,lh other,rh five front,head other,body still
engaged,la still,ra still,lh other,rh five front,head other,body still
engaged,la still,ra still,lh other,rh five front,head other,body still
engaged,la still,ra still,lh other,rh stop,head other,body still
engaged,la still,ra wave,lh other,rh stop,head other,body still
engaged,la blind,ra wave,lh other,rh stop,head other,body still
engaged,la blind,ra wave,lh other,rh five front,head other,body still
engaged,la blind,ra wave,lh other,rh closed front,head other,body still
engaged,la blind,ra wave,lh other,rh closed front,head other,body still
engaged,la blind,ra wave,lh other,rh closed front,head other,body still
engaged,la blind,ra wave,lh other,rh five front,head other,body still
engaged,la blind,ra wave,lh other,rh five front,head other,body still
engaged,la blind,ra wave,lh other,rh five front,head other,body still
engaged,la blind,ra wave,lh other,rh five front,head other,body still
engaged,la blind,ra wave,lh other,rh stop,head other,body still
engaged,la blind,ra wave,lh other,rh stop,head other,body still
engaged,la blind,ra wave,lh other,rh five front,head other,body still
engaged,la blind,ra wave,lh other,rh five front,head other,body still
engaged,la blind,ra wave,lh other,rh five front,head other,body still
engaged,la blind,ra wave,lh other,rh five front,head other,body still
engaged,la blind,ra wave,lh other,rh five front,head other,body still
engaged,la blind,ra wave,lh other,rh five front,head other,body still
engaged,la blind,ra wave,lh other,rh five front,head other,body still
engaged,la blind,ra wave,lh other,rh claw front,head other,body still
engaged,la blind,ra wave,lh other,rh claw front,head other,body still
engaged,la blind,ra wave,lh other,rh claw front,head other,body still
engaged,la blind,ra wave,lh other,rh claw front,head other,body still
engaged,la blind,ra wave,lh other,rh claw front,head other,body still
engaged,la blind,ra wave,lh other,rh claw front,head other,body still
engaged,la blind,ra wave,lh other,rh closed front,head other,body still
engaged,la blind,ra move right down,lh other,rh closed front,head other,body still
engaged,la blind,ra move right down,lh other,rh fist,head other,body still
engaged,la blind,ra move down,lh other,rh fist,head other,body still
engaged,la blind,ra blind,lh other,rh fist,head other,body still
engaged,la blind,ra blind,lh other,rh fist,head other,body still
engaged,la blind,ra blind,lh other,rh fist,head other,body still
engaged,la blind,ra blind,lh other,rh other,head other,body still
engaged,la blind,ra blind,lh other,rh other,head other,body still
engaged,la blind,ra blind,lh other,rh other,head other,body still
engaged,la blind,ra blind,lh other,rh other,head other,body still
engaged,la blind,ra blind,lh other,rh other,head other,body still
engaged,la blind,ra blind,lh other,rh other,head other,body still
engaged,la blind,ra blind,lh other,rh other,head other,body still
engaged,la blind,ra blind,lh other,rh other,head other,body still
engaged,la blind,ra blind,lh other,rh other,head other,body still
engaged,la blind,ra blind,lh other,rh other,head other,body still
engaged,la blind,ra blind,lh other,rh other,head other,body still
engaged,la blind,ra blind,lh other,rh other,head other,body still
engaged,la blind,ra blind,lh other,rh other,head other,body still
engaged,la blind,ra blind,lh other,rh other,head other,body still
engaged,la blind,ra blind,lh other,rh other,head other,body still
engaged,la blind,ra blind,lh other,rh other,head other,body still
engaged,la blind,ra blind,lh other,rh other,head other,body still
engaged,la blind,ra blind,lh other,rh other,head other,body still
engaged,la blind,ra blind,lh other,rh other,head other,body still
engaged,la blind,ra blind,lh other,rh other,head other,body still
engaged,la blind,ra blind,lh other,rh open back,head other,body still
engaged,la blind,ra blind,lh other,rh open back,head other,body still
engaged,la blind,ra blind,lh other,rh open back,head other,body still
engaged,la blind,ra blind,lh other,rh claw down,head other,body still
engaged,la blind,ra blind,lh other,rh claw down,head other,body still
engaged,la blind,ra blind,lh other,rh claw down,head other,body still
engaged,la blind,ra blind,lh other,rh claw down,head other,body still
engaged,la blind,ra blind,lh other,rh claw down,head other,body still
engaged,la blind,ra blind,lh other,rh claw down,head other,body still
engaged,la blind,ra blind,lh other,rh claw down,head other,body still
engaged,la blind,ra blind,lh other,rh claw down,head other,body still
engaged,la blind,ra blind,lh other,rh claw down,head other,body still
engaged,la blind,ra blind,lh other,rh claw down,head other,body still
engaged,la blind,ra blind,lh other,rh claw down,head other,body still
engaged,la blind,ra move front,lh other,rh claw down,head other,body still
engaged,la blind,ra move front,lh other,rh claw down,head other,body still
engaged,la blind,ra move front,lh other,rh claw down,head other,body still
engaged,la blind,ra move left front,lh other,rh claw down,head other,body still
engaged,la blind,ra move left front,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra move right,lh other,rh claw down,head other,body still
engaged,la blind,ra move right,lh other,rh claw down,head other,body still
engaged,la blind,ra move right,lh other,rh claw down,head other,body still
engaged,la blind,ra move right,lh other,rh claw down,head other,body still
engaged,la blind,ra move right,lh other,rh claw down,head other,body still
engaged,la blind,ra move right,lh other,rh claw down,head other,body still
engaged,la blind,ra move right,lh other,rh claw down,head other,body still
engaged,la blind,ra move right,lh other,rh claw down,head other,body still
engaged,la blind,ra move right,lh other,rh claw down,head other,body still
engaged,la blind,ra move right,lh other,rh claw down,head other,body still
engaged,la blind,ra move right,lh other,rh claw down,head other,body still
engaged,la blind,ra move right,lh other,rh claw down,head other,body still
engaged,la blind,ra move right,lh other,rh claw down,head other,body still
engaged,la blind,ra move right,lh other,rh claw down,head other,body still
engaged,la blind,ra move right,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh claw down,head other,body still
engaged,la blind,ra still,lh other,rh fist,head other,body still
engaged,la blind,ra still,lh other,rh open down,head other,body still
engaged,la blind,ra still,lh other,rh closed back,head other,body still
engaged,la blind,ra still,lh other,rh fist,head other,body still
engaged,la blind,ra still,lh other,rh fist,head other,body still
engaged,la blind,ra move left back,lh other,rh fist,head other,body still
engaged,la blind,ra move left back,lh other,rh fist,head other,body still
engaged,la blind,ra move left back,lh other,rh fist,head other,body still
engaged,la blind,ra blind,lh other,rh fist,head other,body still
engaged,la blind,ra blind,lh other,rh fist,head other,body still
